State/UT,Straight Road - Number of Accidents - number,Straight Road - Number of Accidents - Rank,Straight Road - Persons Killed - Number,Straight Road - Persons Killed - Rank,Straight Road - Persons Injured - Greviously Injured,Straight Road - Persons Injured - Minor Injury,Straight Road - Persons Injured - Total Injured,Curved Road - Number of Accidents,Curved Road - Persons Killed,Curved Road - Persons Injured - Greviously Injured,Curved Road - Persons Injured - Minor Injury,Curved Road - Persons Injured - Total Injured,Bridge - Number of Accidents,Bridge - Persons Killed,Bridge - Persons Injured - Greviously Injured,Bridge - Persons Injured - Minor Injury,Bridge - Persons Injured - Total Injured,Culvert - Number of Accidents,Culvert - Persons Killed,Culvert - Persons Injured - Greviously Injured,Culvert - Persons Injured - Minor Injury,Culvert - Persons Injured - Total Injured,Pot Holes - Number of Accidents,Pot Holes - Persons Killed,Pot Holes - Persons Injured - Greviously Injured,Pot Holes - Persons Injured - Minor Injury,Pot Holes - Persons Injured - Total Injured,Steep Grade - Number of Accidents,Steep Grade - Persons Killed,Steep Grade - Persons Injured - Greviously Injured,Steep Grade - Persons Injured - Minor Injury,Steep Grade - Persons Injured - Total Injured,Ongoing Road Works/Under Construction - Number of Accidents,Ongoing Road Works/Under Construction - Persons Killed,Ongoing Road Works/Under Construction - Persons Injured - Greviously Injured,Ongoing Road Works/Under Construction - Persons Injured - Minor Injury,Ongoing Road Works/Under Construction - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Jamshedpur,31,49.0,11,49.0,19,8,27,28,10,16,4,20,27,12,15,4,19,23,11,14,3,17,21,12,14,2,16,22,13,13,2,15,23,13,6,3,9,16,10,3,3,6
Jodhpur,870,23.0,481,4.0,230,424,654,73,33,14,35,49,4,2,1,1,2,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,33,17,14,14,28,135,56,17,82,99
Kannur,570,31.0,71,43.0,333,333,666,79,11,64,70,134,7,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0
Kanpur,200,44.0,96,41.0,112,27,139,410,187,197,61,258,70,39,37,16,53,62,31,35,14,49,132,61,79,18,97,95,44,61,12,73,163,68,103,21,124,375,166,211,39,250
Khozikode,1200,17.0,125,34.0,865,340,1205,94,16,62,29,91,32,5,24,13,37,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,4,0,3,0,3,264,32,198,62,260
Kochi,1631,9.0,108,37.0,1200,394,1594,136,6,90,37,127,54,4,40,22,62,3,2,1,0,1,9,0,6,1,7,1,0,1,0,1,30,4,19,12,31,426,31,340,91,431
Kolkata,1526,12.0,240,16.0,654,432,1086,418,18,178,157,335,46,9,20,13,33,9,0,5,4,9,70,0,52,22,74,50,0,35,18,53,40,0,27,17,44,341,0,256,114,370
Kollam,1041,20.0,133,33.0,937,146,1083,365,42,322,56,378,17,2,17,1,18,21,1,15,7,22,1,0,1,0,1,5,2,3,2,5,1,0,1,0,1,489,45,430,43,473
Kota,455,37.0,125,34.0,66,392,458,99,21,16,90,106,29,8,2,26,28,48,16,7,45,52,42,19,9,47,56,26,13,0,28,28,20,11,0,30,30,65,12,13,42,55
Lucknow,648,26.0,226,17.0,189,177,366,442,144,118,132,250,242,90,81,38,119,167,61,64,28,92,112,36,41,22,63,74,24,14,27,41,0,0,0,0,0,0,0,0,0,0
